,Unnamed: 0,area,bathroom,direction,price,rooms,type,latitude,longitude
224,224, 149mt, 2,"Tropical Metaldom, Santo Domingo De Guzmán","RD$ 5,000,000", 3,Venta,null,null
225,225, 149mt, 2,"Tropical Metaldom, Santo Domingo De Guzmán","RD$ 5,500,000", 3,Venta,null,null
226,226,Unknown, 3,"Piantini, Santo Domingo De Guzmán","US$ 3,500", 3,Alquiler Línea Blanca,18.4772093,-69.8949479
227,227, 171mt, 2,"Tropical Metaldom, Santo Domingo De Guzmán","RD$ 5,500,000", 3,Venta,null,null
228,228, 171mt, 2,"Tropical Metaldom, Santo Domingo De Guzmán","RD$ 5,000,000", 3,Venta,null,null
229,229, 275mt, 3,"Piantini, Santo Domingo De Guzmán","US$ 2,000", 3,Alquiler Amueblado,18.4772093,-69.8949479
230,230, 240mt, 3,"Evaristo Morales, Santo Domingo De Guzmán","RD$ 8,700,000", 3,Venta,18.4651751,-69.9412137
231,231, 100mt, 2,"Mirador Sur, Santo Domingo De Guzmán","RD$ 6,500,000", 2,Venta,18.44863,-69.9556090626115
232,232, 160mt, 2,"La Julia, Santo Domingo De Guzmán","RD$ 6,500,000", 3,Venta,18.4633288,-69.9238582
233,233, 215mt, 3,"Urbanización Real, Santo Domingo De Guzmán","RD$ 10,000,000", 3,Venta,18.4428514,-69.9757123
234,234, 175mt, 2,"Evaristo Morales, Santo Domingo De Guzmán","RD$ 6,650,000", 3,Venta,18.4651751,-69.9412137
235,235, 208mt, 3,"Ensanche Naco, Santo Domingo De Guzmán","US$ 215,000", 3,Venta,18.48063285,-69.9245812964471
236,236, 130mt, 1,"Dominicanos Ausentes, Santo Domingo De Guzmán","RD$ 2,990,000", 2,Venta,18.4372186,-69.9496259
237,237, 160mt, 2,"Ensanche Naco, Santo Domingo De Guzmán","RD$ 6,100,000", 2,Venta,18.48063285,-69.9245812964471
238,238, 185mt, 2,"Urbanización Real, Santo Domingo De Guzmán","US$ 147,000", 3,Venta,18.4428514,-69.9757123
239,239, 150mt, 2,"Evaristo Morales, Santo Domingo De Guzmán","US$ 135,000", 2,Venta,18.4651751,-69.9412137
240,240, 475mt, 4,"Bella Vista, Santo Domingo De Guzmán","US$ 7,000", 4,Alquiler,18.4522046,-69.9484723
241,241, 230mt, 3,"Ensanche Naco, Santo Domingo De Guzmán","US$ 1,800", 3,Alquiler,18.48063285,-69.9245812964471
242,242, 152mt, 2,"Las Praderas, Santo Domingo De Guzmán","RD$ 5,500,000", 3,Venta,18.4671539,-69.963676
243,243, 200mt, 2,"Ensanche Serralles, Santo Domingo De Guzmán","RD$ 40,000", 3,Alquiler Amueblado,null,null
244,244, 145mt, 2,"Altos De Arroyo Hondo Ii, Santo Domingo De Guzmán","RD$ 5,350,000", 3,Venta,18.5042878,-69.9497993
245,245, 127mt, 2,"Ensanche Naco, Santo Domingo De Guzmán","RD$ 6,400,000", 2,Venta,18.48063285,-69.9245812964471
246,246, 95mt, 2,"Miramar, Santo Domingo De Guzmán","US$ 62,300", 2,Venta,18.4322007,-69.9606552
247,247, 162mt, 3,"Miramar, Santo Domingo De Guzmán","US$ 96,000", 3,Venta,18.4322007,-69.9606552
248,248, 144mt, 3,"Miramar, Santo Domingo De Guzmán","US$ 112,000", 3,Venta,18.4322007,-69.9606552
249,249, 124mt, 3,"Miramar, Santo Domingo De Guzmán","US$ 97,000", 3,Venta,18.4322007,-69.9606552
250,250, 150mt, 2,"Los Cacicazgos, Santo Domingo De Guzmán","US$ 1,800", 2,Alquiler Amueblado,18.441375,-69.9697149
